label_confidence,wpm,fillers_density,continuity,eye_contact,posture,voice_variation
poor,105.0249,0.069349,0.611607,0.675787,0.20597,0.066846
poor,115.0368,0.08426,0.702688,0.261493,0.691009,0.219723
poor,98.8734,0.136942,0.384881,0.161776,0.310287,0.26785
poor,71.5136,0.109124,0.353021,0.579563,0.0,0.082015
poor,69.703,0.065213,0.49458,0.314155,0.349324,0.176122
poor,98.0508,0.059744,0.577233,0.482533,0.477008,0.28348
poor,99.4463,0.151052,0.434323,0.288583,0.249294,0.045161
poor,76.3329,0.063336,0.437278,0.416859,0.410228,0.08517
poor,108.5028,0.112182,0.421263,0.219417,0.509686,0.228196
poor,73.2781,0.087961,0.497166,0.170061,0.437969,0.0
poor,115.0428,0.127438,0.404547,0.422691,0.0,0.026548
poor,90.5933,0.057836,0.578591,0.749459,0.164677,0.07438
poor,98.5317,0.138333,0.229973,0.399807,0.76426,0.0
poor,75.784,0.077292,0.356294,0.51252,0.448332,0.0
poor,102.7312,0.072674,0.6794,0.224482,0.272677,0.28117
poor,106.4439,0.103443,0.146592,0.457607,0.193138,0.235291
poor,73.644,0.10339,0.304812,0.093473,0.542764,0.236247
poor,85.7903,0.133535,0.370683,0.356422,0.453783,0.10705
poor,102.067,0.073996,0.375905,0.622529,0.191883,0.0
poor,119.1641,0.16648,0.377052,0.0,0.337903,0.157067
poor,92.1511,0.056598,0.554321,0.454901,0.101119,0.30488
poor,125.7903,0.095159,0.389281,0.321599,0.523051,0.0
poor,97.4659,0.078286,0.782609,0.315165,0.733578,0.034439
poor,103.8089,0.099582,0.293571,0.385479,0.642504,0.151431
poor,69.6206,0.089473,0.287564,0.281532,0.383682,0.0
poor,70.7651,0.104462,0.355911,0.0,0.556969,0.240855
poor,84.2919,0.050495,0.600445,0.41987,0.87652,0.263028
poor,100.8155,0.084992,0.59702,0.475017,0.650345,0.121802
poor,88.4689,0.075627,0.592344,0.649675,0.308232,0.136284
poor,99.7112,0.082627,0.62137,0.0,0.234659,0.082638
poor,60.1947,0.061091,0.285272,0.309779,0.622593,0.163241
poor,79.5378,0.088291,0.638851,0.154808,0.217885,0.283782
poor,91.677,0.109425,0.447544,0.490333,0.192984,0.198187
poor,91.8396,0.053523,0.168574,0.48715,0.32981,0.046658
poor,93.5573,0.123841,0.039467,0.050672,0.215423,0.419177
poor,99.2388,0.11302,0.244771,0.126093,0.489563,0.208741
poor,103.2311,0.08437,0.500066,0.381624,0.555553,0.321051
poor,70.7019,0.022582,0.630314,0.587545,0.195875,0.0
poor,96.4855,0.117925,0.773567,0.45326,0.325657,0.06603
poor,95.1718,0.081022,0.267288,0.759751,0.757034,0.370407
poor,81.1872,0.115651,0.565133,0.438509,0.649933,0.295306
poor,106.1002,0.109107,0.511342,0.0,0.416724,0.116571
poor,75.8024,0.140454,0.761219,0.621844,0.451043,0.402594
poor,95.1808,0.096084,0.253175,0.429398,0.412077,0.004602
poor,94.232,0.087608,0.773561,0.528843,0.402289,0.237318
poor,95.6632,0.083913,0.255163,0.31979,0.25078,0.012453
poor,102.6683,0.101738,0.128393,0.325463,0.59914,0.358884
poor,110.3876,0.091167,0.297892,0.13326,0.468921,0.256892
poor,114.31,0.122999,0.426199,0.101159,0.336179,0.232585
poor,91.9688,0.072663,0.495519,0.249208,0.274387,0.246718
poor,88.9701,0.097323,0.499177,0.122114,0.303752,0.415667
poor,77.5688,0.0265,0.114868,0.355822,0.406183,0.182358
poor,113.2128,0.009815,0.521268,0.662288,0.174444,0.143029
poor,83.7066,0.06317,0.391273,0.635497,0.767477,0.149609
poor,123.5759,0.091067,0.765664,0.33134,0.426212,0.254821
poor,142.6828,0.115539,0.322692,0.5438,0.327633,0.126537
poor,108.629,0.090933,0.500144,0.352797,0.467317,0.263745
poor,65.9455,0.109997,0.273237,0.06154,0.388318,0.212597
poor,84.5974,0.114931,0.208408,0.268611,0.283025,0.193012
poor,99.183,0.059763,0.580371,0.3626,0.021611,0.0
poor,94.8152,0.083371,0.431384,0.344404,0.445112,0.342147
poor,78.3334,0.054841,0.253202,0.407783,0.648989,0.135299
poor,57.4745,0.03888,0.300053,0.238454,0.318322,0.205787
poor,90.3238,0.12148,0.328317,0.177536,0.495775,0.0
poor,100.8454,0.093077,0.42346,0.667655,0.275559,0.509045
poor,91.6185,0.05169,0.462586,0.134751,0.249649,0.259555
poor,103.3337,0.071335,0.627733,0.581502,0.68726,0.279412
poor,115.4514,0.033576,0.392777,0.176599,0.423845,0.114283
poor,92.5076,0.146465,0.41945,0.432758,0.353546,0.211357
poor,95.0903,0.10345,0.659755,0.679479,0.461924,0.288432
poor,77.737,0.087364,0.619252,0.523194,0.442322,0.332959
poor,102.3615,0.126009,0.502085,0.27886,0.467168,0.0
poor,100.7433,0.0,0.139777,0.440354,0.495506,0.025636
poor,84.3185,0.131116,0.362875,0.798584,0.399616,0.261205
poor,119.2531,0.093931,0.269578,0.328055,0.392878,0.0
poor,91.1625,0.067734,0.616384,0.356922,0.343441,0.184073
poor,98.3468,0.108504,0.270052,0.141682,0.620936,0.138149
poor,73.7474,0.103314,0.533407,0.043857,0.445896,0.310337
poor,100.6158,0.108959,0.197232,0.416208,0.339476,0.127581
poor,108.0583,0.134378,0.772987,0.612962,0.378053,0.252908
poor,106.5023,0.093635,0.473538,0.514751,0.388143,0.090607
poor,88.7829,0.109017,0.450539,0.418042,0.534016,0.143774
poor,106.3437,0.101365,0.227734,0.638461,0.299851,0.0
poor,79.3243,0.059369,0.459391,0.29523,0.332634,0.292955
poor,100.0981,0.099481,0.523769,0.473227,0.0,0.145334
poor,62.2968,0.091082,0.449166,0.559106,0.637527,0.230416
poor,87.4946,0.104555,0.354975,0.349721,0.597227,0.116334
poor,107.0852,0.110322,0.278137,0.544779,0.539713,0.215289
poor,83.5651,0.064224,0.353221,0.458519,0.208875,0.265627
poor,76.3737,0.083878,0.469737,0.839026,0.124537,0.420802
poor,97.2476,0.102335,0.471303,0.438945,0.369263,0.418108
poor,88.1529,0.123967,0.334014,0.33795,0.185607,0.268254
poor,116.6769,0.087679,0.414561,0.127077,0.354141,0.0
poor,81.3068,0.096804,0.687422,0.911842,0.282683,0.415295
poor,98.6563,0.085463,0.527867,0.362383,0.422079,0.13875
poor,74.0284,0.043691,0.567584,0.29466,0.280782,0.201276
poor,106.924,0.095411,0.33191,0.595259,0.715837,0.274183
poor,109.605,0.127259,0.653418,0.47282,0.519669,0.277949
poor,78.5399,0.111022,0.205953,0.19108,0.660713,0.326033
poor,117.311,0.08185,0.242595,0.301913,0.420406,0.211848
poor,112.0052,0.079162,0.513366,0.152275,0.490063,0.200466
poor,83.7528,0.082925,0.416848,0.295969,0.754268,0.185233
poor,91.3416,0.027076,0.289043,0.297385,0.262829,0.407256
poor,92.5259,0.128653,0.461107,0.357446,0.382241,0.200569
poor,120.7819,0.020412,0.089722,0.241366,0.402906,0.303516
poor,102.0963,0.078473,0.633428,0.556039,0.436812,0.344399
poor,99.0897,0.073156,0.575607,0.372123,0.400268,0.420943
poor,58.2369,0.047469,0.236327,0.277348,0.349078,0.0
poor,80.2226,0.064175,0.892336,0.710348,0.31765,0.145463
poor,77.7619,0.032756,0.428962,0.15043,0.38303,0.0
poor,83.5704,0.094459,0.515918,0.433494,0.135902,0.328203
poor,82.9968,0.108986,0.448085,0.074723,0.33676,0.254805
poor,104.1945,0.08577,0.72572,0.551502,0.348669,0.312518
poor,124.0069,0.148815,0.22896,0.164693,0.696984,0.041258
poor,75.1619,0.075414,0.525641,0.329521,0.269887,0.098868
poor,84.3149,0.063615,0.860694,0.409502,0.577352,0.126638
poor,92.2106,0.068593,0.0,0.074398,0.037876,0.0
poor,77.0696,0.129749,0.442001,0.608113,0.482197,0.317384
poor,81.4865,0.105719,0.581169,0.234671,0.511908,0.284928
poor,86.7567,0.056317,0.236857,0.367301,0.465402,0.081121
poor,95.3988,0.107116,0.561274,0.660376,0.655396,0.049806
poor,120.2538,0.074071,0.638077,0.363597,0.31757,0.0
poor,92.4265,0.043219,0.624114,0.653359,0.240618,0.245296
poor,84.1191,0.071145,0.589409,0.342292,0.74793,0.127665
poor,109.99,0.092922,0.59324,0.260568,0.390088,0.182675
poor,82.4591,0.109862,0.567045,0.468711,0.707393,0.417402
poor,89.3758,0.101192,0.337752,0.354671,0.28005,0.443011
poor,100.4555,0.083459,0.664851,0.0,0.0,0.319376
poor,95.907,0.097513,0.211249,0.345353,0.800702,0.32363
poor,97.5456,0.076828,0.378977,0.0,0.451528,0.326822
poor,71.3657,0.070157,0.241656,0.15693,0.410696,0.0
poor,104.2141,0.112616,0.404802,0.0,0.200716,0.384935
poor,53.3301,0.079574,0.2376,0.510914,0.264977,0.260593
poor,103.4819,0.145087,0.41347,0.425209,0.102989,0.378562
poor,83.5924,0.073177,0.445995,0.037423,0.445754,0.34512
poor,99.394,0.042333,0.427714,0.498406,0.024402,0.038785
poor,108.1482,0.098103,0.524155,0.721899,0.493711,0.298683
poor,135.6612,0.083586,0.306381,0.435559,0.487798,0.120993
poor,79.514,0.159295,0.508832,0.203543,0.583186,0.183628
poor,91.2068,0.106868,0.217461,0.420525,0.782591,0.269927
poor,89.3568,0.074787,0.376139,0.299207,0.324439,0.337447
poor,69.0019,0.11586,0.381656,0.42539,0.174602,0.399295
poor,113.6845,0.118788,0.177344,0.515824,0.480971,0.0
poor,94.6355,0.100936,0.550094,0.385452,0.458246,0.421042
poor,113.3905,0.003988,0.392861,0.31707,0.04958,0.214127
poor,113.7314,0.057403,0.510552,0.166835,0.265618,0.421609
poor,86.8616,0.103866,0.113181,0.722464,0.52053,0.172625
poor,103.6332,0.047705,0.662856,0.285203,0.359186,0.126252
poor,86.2902,0.11084,0.496063,0.48035,0.398241,0.27698
poor,88.7173,0.156892,0.167773,0.602187,0.673581,0.072176
poor,128.4391,0.119865,0.624805,0.355604,0.356555,0.168589
poor,100.858,0.132036,0.482637,0.167711,0.564885,0.338173
poor,104.8199,0.112365,0.401233,0.164202,0.226361,0.0
poor,98.5542,0.087497,0.370802,0.0,0.150537,0.368126
poor,85.0306,0.100818,0.199677,0.637741,0.371194,0.243506
poor,129.8867,0.135493,0.394818,0.231356,0.334891,0.276485
poor,93.4216,0.078143,0.714093,0.327158,0.859918,0.213611
poor,121.7798,0.10072,0.623333,0.205078,0.229248,0.268956
poor,109.8283,0.091208,0.218449,0.077948,0.114573,0.0
poor,96.6423,0.123751,0.447585,0.0,0.361848,0.17558
poor,126.44,0.046286,0.379678,0.691171,0.489996,0.284497
poor,96.7188,0.099898,0.58997,0.188103,0.575612,0.0
poor,99.9255,0.095362,0.339067,0.345463,0.275492,0.039245
poor,89.6958,0.05688,0.508104,0.119983,0.542395,0.022778
poor,86.5056,0.071262,0.688526,0.416058,0.357653,0.274808
poor,63.3921,0.088706,0.809553,0.376469,0.413583,0.282219
poor,108.4341,0.030076,0.147181,0.392058,0.257025,0.396804
poor,90.2724,0.031964,0.221757,0.0,0.353175,0.171742
poor,88.6331,0.122366,0.665734,0.315922,0.0,0.292592
poor,103.3304,0.099282,0.626666,0.117034,0.801751,0.056086
poor,106.2383,0.03938,0.282552,0.653274,0.34782,0.325988
poor,98.5543,0.086851,0.695493,0.302668,0.043852,0.079514
poor,103.2679,0.101865,0.16793,0.205131,0.283656,0.14518
poor,74.3613,0.071149,0.31885,0.504307,0.561824,0.178128
poor,89.1194,0.094198,0.303016,0.120634,0.211956,0.104778
poor,77.5479,0.094862,0.581349,0.03258,0.405026,0.16701
poor,100.1226,0.089612,0.188352,0.097522,0.405885,0.354317
poor,61.7872,0.100372,0.664132,0.319395,0.51004,0.09454
poor,93.2095,0.041373,0.028018,0.538553,0.203001,0.131671
poor,74.2034,0.047701,0.418709,0.204085,0.475594,0.267881
poor,99.8127,0.097158,0.733998,0.136481,0.389013,0.369903
poor,113.9681,0.047347,0.393776,0.621624,0.501616,0.229289
poor,91.7347,0.078486,0.501879,0.299525,0.391484,0.21179
poor,84.8289,0.105964,0.974564,0.0,0.464803,0.085971
poor,103.661,0.091397,0.587134,0.585101,0.438484,0.369808
poor,59.8355,0.137714,0.517511,0.565569,0.156025,0.075385
poor,97.1891,0.089489,0.500952,0.566903,0.046956,0.346073
poor,95.1242,0.083887,0.185199,0.45061,0.0,0.297259
poor,72.6184,0.091604,0.42855,0.583908,0.364269,0.095879
poor,87.401,0.128186,0.546533,0.272874,0.352711,0.0
poor,100.8271,0.037206,0.585323,0.375724,0.87739,0.03498
poor,93.4601,0.143949,0.66445,0.210758,0.444793,0.2003
poor,99.2293,0.06904,0.433922,0.03039,0.427025,0.267503
poor,91.5887,0.041548,0.627936,0.422905,0.254797,0.15791
poor,72.49,0.059238,0.353194,0.595684,0.272099,0.296032
poor,86.9253,0.097438,0.424549,0.524611,0.293038,0.0
poor,74.2708,0.074044,0.225169,0.432042,0.306846,0.556191
poor,68.9343,0.096109,0.246968,0.25132,0.428284,0.0
poor,98.5524,0.147087,0.368381,0.401962,0.604984,0.175407
poor,86.2856,0.021728,0.565378,0.327366,0.197463,0.21899
poor,86.2448,0.074147,0.559132,0.082324,0.609463,0.0
poor,85.0595,0.147688,0.652924,0.369521,0.211894,0.120609
poor,96.0991,0.091126,0.433643,0.343833,0.357125,0.0
poor,87.2523,0.117439,0.2037,0.312089,0.236049,0.216703
poor,89.1705,0.134322,0.541185,0.087639,0.534246,0.083802
poor,86.3451,0.099415,0.361485,0.528571,0.245098,0.107158
poor,85.1544,0.073031,0.647854,0.475759,0.741989,0.540147
poor,79.5392,0.092113,0.238284,0.194479,0.273983,0.041427
poor,79.2217,0.085671,0.230991,0.518425,0.216449,0.621435
poor,88.2292,0.092161,0.216839,0.691218,0.6239,0.244537
poor,74.798,0.09632,0.248142,0.642471,0.561839,0.214316
poor,58.4544,0.060498,0.573797,0.592577,0.621834,0.0
poor,99.5233,0.120465,0.1515,0.348419,0.454768,0.154885
poor,67.2176,0.080229,0.391085,0.320386,0.287306,0.133548
poor,94.4044,0.103274,0.395203,0.26807,0.418471,0.0
poor,102.1555,0.089983,0.457145,0.542147,0.009437,0.0
poor,99.1071,0.089786,0.480632,0.257575,0.532871,0.339896
poor,102.2597,0.082175,0.070616,0.503847,0.644346,0.296684
poor,81.8054,0.110214,0.604895,0.661763,0.224778,0.166032
poor,106.2091,0.091722,0.248881,0.432923,0.515732,0.213194
poor,98.2938,0.082239,0.71609,0.169862,0.282536,0.201648
poor,108.1843,0.045079,0.214147,0.0,0.406539,0.032254
poor,89.2317,0.109841,0.334522,0.396256,0.340132,0.300817
poor,102.1269,0.069242,0.419643,0.558749,0.478675,0.0
poor,104.8343,0.057462,0.704252,0.55482,0.457977,0.223585
poor,91.8645,0.110356,0.38326,0.397114,0.574387,0.115729
poor,85.7571,0.054169,0.258395,0.0,0.545966,0.471337
poor,116.3799,0.041217,0.580474,0.634421,0.308638,0.215217
poor,64.8816,0.098002,0.258559,0.389927,0.087759,0.281429
poor,110.3677,0.066505,0.245354,0.0,0.346717,0.112761
poor,71.7347,0.103591,0.369005,0.134853,0.289086,0.360696
poor,104.0441,0.086099,0.561439,0.117818,0.406474,0.222098
poor,87.9525,0.103064,0.309522,0.451964,0.510372,0.0
poor,112.8546,0.0,0.339111,0.55507,0.336543,0.0
poor,78.5939,0.120807,0.104129,0.575798,0.38898,0.021141
poor,86.2533,0.059483,0.605921,0.496486,0.056168,0.139461
poor,82.0522,0.128805,0.206982,0.670846,0.393341,0.02571
poor,84.8409,0.065951,0.220569,0.368965,0.154417,0.0
poor,89.3049,0.035914,0.314611,0.168179,0.225757,0.500144
poor,95.8462,0.097361,0.130248,0.219207,0.443061,0.046321
poor,108.6209,0.053919,0.398454,0.23279,0.432864,0.103926
poor,90.9366,0.082916,0.31781,0.447019,0.447678,0.186708
poor,88.5431,0.113896,0.40755,0.288661,0.420938,0.454488
poor,74.8947,0.113096,0.109229,0.393455,0.715017,0.2733
poor,97.5594,0.073187,0.455588,0.299587,0.242805,0.156519
poor,97.9757,0.066983,0.304869,0.077951,0.478145,0.281798
poor,98.4749,0.118955,0.465816,0.428402,0.460767,0.186269
poor,87.0377,0.156425,0.368649,0.216824,0.486802,0.237778
poor,73.9281,0.12368,0.433045,0.127814,0.637757,0.293851
poor,76.0319,0.143315,0.568584,0.347961,0.718044,0.223895
poor,94.5788,0.070191,0.554733,0.445321,0.402936,0.081502
poor,96.9489,0.087906,0.209975,0.055638,0.513031,0.0
poor,98.0812,0.075658,0.685484,0.251306,0.531897,0.140463
poor,96.7062,0.112105,0.36674,0.549311,0.20126,0.244189
poor,108.8396,0.109801,0.79496,0.197312,0.12417,0.05085
poor,104.9066,0.104938,0.468406,0.125409,0.553373,0.016294
poor,112.3842,0.175723,0.515961,0.466622,0.301428,0.0
poor,85.9592,0.057213,0.189539,0.694472,0.454573,0.256953
poor,90.3647,0.084814,0.623619,0.343533,0.506139,0.170599
poor,89.8677,0.047793,0.094005,0.297688,0.411299,0.00708
poor,94.4829,0.091613,0.061919,0.166975,0.481453,0.258059
poor,77.6949,0.094753,0.634033,0.505415,0.380943,0.129804
poor,85.5598,0.104035,0.485119,0.475881,0.426375,0.322815
poor,96.4189,0.113541,0.606748,0.189095,0.038371,0.431524
poor,98.8499,0.038565,0.321512,0.504375,0.344065,0.123191
poor,116.0132,0.058581,0.306332,0.392277,0.478091,0.274451
poor,108.6686,0.095957,0.538089,0.298158,0.41254,0.21613
poor,98.2265,0.113176,0.549926,0.358843,0.238175,0.210151
poor,94.5797,0.095795,0.847175,0.245245,0.484458,0.360269
poor,96.47,0.160135,0.381953,0.414818,0.240239,0.147271
poor,98.734,0.115389,0.507437,0.601823,0.381007,0.150175
poor,135.5598,0.101827,0.320493,0.211147,0.211464,0.340485
poor,89.5343,0.093821,0.438568,0.496298,0.230651,0.038664
poor,98.3645,0.108029,0.509856,0.188109,0.535497,0.088421
poor,87.1769,0.061681,0.684209,0.476684,0.520999,0.387082
poor,137.1897,0.038723,0.317092,0.226765,0.229836,0.038363
poor,90.5052,0.053502,0.510308,0.36034,0.496206,0.276159
poor,104.0451,0.078798,0.831806,0.396886,0.027503,0.049644
poor,68.8925,0.09052,0.428075,0.256315,0.802185,0.282347
poor,105.8915,0.062068,0.270154,0.357361,0.434601,0.0
poor,92.2954,0.090422,0.411273,0.187322,0.292093,0.173471
poor,96.362,0.108144,0.644554,0.29113,0.308769,0.265648
poor,104.1627,0.076974,0.592271,0.545917,0.658337,0.466748
poor,82.0038,0.090417,0.45203,0.330385,0.270147,0.0
poor,96.3902,0.066949,0.465479,0.191191,0.180068,0.235145
poor,97.2638,0.107378,0.843455,0.405458,0.497016,0.038366
poor,75.6964,0.137485,0.283774,0.141211,0.39218,0.186471
poor,81.4624,0.080851,0.671288,0.188801,0.121266,0.341389
poor,102.3845,0.071384,0.16521,0.201075,0.389059,0.374851
poor,79.4513,0.087464,0.571526,0.0,0.606757,0.022632
poor,99.9799,0.0974,0.645226,0.460185,0.0,0.082283
poor,97.0731,0.084151,0.53597,0.507873,0.52169,0.167859
poor,67.3049,0.076336,0.524946,0.131911,0.526255,0.336259
poor,96.903,0.0,0.219944,0.727238,0.290692,0.0
poor,113.5287,0.090401,0.648889,0.405392,0.491712,0.254451
poor,105.4623,0.158323,0.624781,0.033932,0.489332,0.371222
poor,113.0405,0.077202,0.65969,0.535548,0.914503,0.0875
poor,87.389,0.080816,0.36176,0.171996,0.0,0.134795
poor,100.5404,0.075203,0.798369,0.352675,0.658206,0.239213
poor,107.3961,0.098377,0.696381,0.361188,0.499224,0.25495
poor,90.6757,0.102149,0.85219,0.295921,0.483893,0.388667
poor,112.1038,0.090351,0.02099,0.453341,0.0,0.420491
poor,97.5421,0.11999,0.28762,0.039499,0.452151,0.194959
poor,87.6269,0.09254,0.948138,0.516905,0.6099,0.326591
poor,117.1919,0.084298,0.080143,0.312283,0.562347,0.05453
poor,92.3545,0.069247,0.720365,0.499891,0.530308,0.29324
poor,94.4413,0.095927,0.236667,0.0,0.430016,0.248599
poor,113.139,0.13714,0.7326,0.150395,0.329547,0.27205
poor,132.9786,0.134403,0.651491,0.272442,0.22336,0.318336
poor,78.4901,0.082847,0.42934,0.668582,0.329061,0.0
poor,102.5667,0.069029,0.457674,0.332659,0.345259,0.318551
poor,72.007,0.07449,0.573127,0.227183,0.078239,0.300283
poor,111.8464,0.08865,0.097048,0.491194,0.068022,0.24632
poor,81.688,0.055205,0.370456,0.31334,0.271158,0.288305
poor,88.309,0.119406,0.500611,0.210489,0.226812,0.0
poor,99.361,0.079362,0.023005,0.242857,0.219793,0.436352
poor,69.4583,0.046759,0.649795,0.621353,0.251003,0.105187
poor,104.2435,0.020187,0.114985,0.293853,0.709978,0.13464
poor,96.5141,0.124014,0.829239,0.23463,0.396633,0.473308
poor,72.167,0.120827,0.266703,0.370494,0.351476,0.056298
poor,80.2535,0.098292,0.629197,0.324053,0.414023,0.285676
poor,80.4257,0.112191,0.597482,0.870725,0.324779,0.131288
poor,106.5345,0.114573,0.353684,0.269367,0.508226,0.075862
poor,88.842,0.092688,0.629269,0.22908,0.031523,0.0
poor,76.1088,0.050605,0.42217,0.112224,0.259449,0.083887
poor,88.3924,0.129675,0.569151,0.353226,0.307795,0.135015
poor,99.9162,0.107525,0.286629,0.357296,0.0,0.231757
poor,106.4322,0.081598,0.776975,0.173752,0.443488,0.194626
poor,93.4955,0.08657,0.469279,0.519592,0.675547,0.199662
poor,107.2297,0.068947,0.587872,0.197602,0.618132,0.531596
poor,93.1687,0.024224,0.351347,0.596375,0.510615,0.237337
poor,110.13,0.104534,0.669191,0.533885,0.70434,0.253819
poor,108.5789,0.080786,0.341737,0.691354,0.443241,0.320732
poor,96.8561,0.072405,0.451977,0.637199,0.511048,0.0
poor,91.7713,0.143469,0.411517,0.0,0.77861,0.302359
poor,93.9498,0.078857,0.644823,0.241603,0.629651,0.281329
poor,98.6702,0.094365,0.418506,0.559128,0.226931,0.0
poor,104.2166,0.108937,0.536443,0.431546,0.335892,0.318122
poor,94.3166,0.075387,0.39386,0.754128,0.053005,0.274968
poor,69.8133,0.086753,0.371947,0.0,0.477808,0.142994
